x_pixel,y_pixel,y_normalized
14,540.44,0.485300
15,545.81,0.480182
24,724.22,0.310270
25,902.62,0.140358
27,905.44,0.137678
28,905.73,0.137396
29,906.15,0.136996
30,906.15,0.136996
31,906.15,0.136996
32,906.15,0.136996
34,893.76,0.148804
35,885.11,0.157042
36,881.67,0.160316
38,881.67,0.160316
39,881.67,0.160316
40,796.78,0.241165
45,788.52,0.249032
46,796.78,0.241165
48,909.05,0.134241
49,909.05,0.134241
50,721.96,0.312415
51,721.61,0.312755
52,721.96,0.312415
53,752.08,0.283737
54,750.02,0.285697
56,729.95,0.304805
57,729.95,0.304805
58,729.95,0.304805
59,729.95,0.304805
60,721.04,0.313292
61,717.57,0.316600
63,510.82,0.513507
64,510.82,0.513507
65,717.57,0.316600
66,721.04,0.313292
67,885.04,0.157105
68,885.04,0.157105
69,885.04,0.157105
70,885.63,0.156546
74,885.63,0.156546
75,885.04,0.157105
77,882.50,0.159525
78,879.12,0.162746
79,855.74,0.185005
80,855.38,0.185354
81,855.38,0.185354
82,855.38,0.185354
83,855.38,0.185354
84,877.99,0.163819
85,878.08,0.163735
87,878.08,0.163735
88,878.08,0.163735
89,995.89,0.051534
92,996.19,0.051246
93,996.19,0.051246
95,838.46,0.201465
96,832.14,0.207484
99,535.62,0.489883
100,535.45,0.490049
101,535.16,0.490327
102,535.09,0.490392
103,534.30,0.491145
104,534.30,0.491145
105,531.02,0.494266
106,527.39,0.497720
107,523.38,0.501540
108,518.07,0.506597
109,516.00,0.508576
113,511.90,0.512479
114,511.31,0.513039
115,510.72,0.513602
116,509.27,0.514983
117,508.89,0.515340
118,508.65,0.515574
119,508.64,0.515583
120,507.61,0.516565
121,507.18,0.516968
122,507.14,0.517008
123,507.05,0.517100
124,506.83,0.517304
125,506.49,0.517625
126,506.17,0.517932
127,505.93,0.518160
128,505.51,0.518558
129,504.90,0.519142
130,504.51,0.519511
131,501.58,0.522309
132,501.58,0.522309
133,501.58,0.522309
134,501.58,0.522309
135,504.97,0.519073
136,505.15,0.518906
137,505.33,0.518732
138,505.45,0.518618
139,505.45,0.518618
140,505.33,0.518732
141,505.33,0.518732
142,505.33,0.518732
145,410.35,0.609190
146,404.40,0.614858
148,396.52,0.622363
150,379.84,0.638251
151,376.65,0.641284
152,371.61,0.646089
153,366.26,0.651181
154,362.87,0.654408
155,359.12,0.657981
156,351.22,0.665508
157,343.29,0.673058
158,338.64,0.677481
159,336.54,0.679489
160,336.54,0.679489
161,336.54,0.679489
162,336.54,0.679489
163,331.57,0.684216
164,325.65,0.689859
165,881.46,0.160511
166,883.25,0.158814
167,883.25,0.158814
168,883.25,0.158814
169,883.39,0.158678
170,883.54,0.158534
171,884.03,0.158069
172,884.37,0.157740
173,884.57,0.157552
174,886.90,0.155338
175,886.90,0.155338
176,887.83,0.154445
177,889.91,0.152467
178,890.52,0.151887
179,890.37,0.152028
180,890.31,0.152085
181,890.09,0.152297
182,890.09,0.152297
183,890.09,0.152297
184,890.09,0.152297
185,890.09,0.152297
186,890.09,0.152297
